;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
41;Программист 1С;Москва;70000.0;180000.0;БелТВ и ИМЦ;2019-11-20T10:32:50+0300;1;3;Удаленная работа;Частичная занятость;Обязанности:  Обновление конфигураций 1С Бухгалтерия 8.3 и Управление торговлей 11.4 Доработка конфигураций 1С Бухгалтерия 8.3 и Управление торговлей 11.4 Сопровождение 1С Бухгалтерия 8.3 и Управление торговлей 11.4 Интеграция с сайтом интернет-магазина Администрирование, техническая поддержка пользователей до 20 рабочих мест  Требования:  Знание типовых конфигураций Управления торговлей и Бухгалтерия Опыт работы с 1С Бухгалтерия 8.х и Управление торговлей 11.х Высшее образование Опыт работы от 2 лет Возможность работы из дома Инициативность  Условия:  Официальное трудоустройство по ТК РФ Конкурентоспособная заработная плата, обсуждаемая с каждым кандидатом лично на собеседовании Неполный рабочий день Удаленная работа ;  Официальное трудоустройство по ТК РФ Конкурентоспособная заработная плата, обсуждаемая с каждым кандидатом лично на собеседовании Неполный рабочий день Удаленная работа ;Знание типовых конфигураций Управления торговлей и Бухгалтерия. Опыт работы с 1С Бухгалтерия 8.х и Управление торговлей 11.х. ;Обновление конфигураций 1С Бухгалтерия 8.3 и Управление торговлей 11.4. Доработка конфигураций 1С Бухгалтерия 8.3 и...;"1С: Бухгалтерия; 1С: Управление Торговлей; 1C: Бухгалтерия; 1С: Предприятие 8"
16;Программист 1С;Москва;120000.0;180000.0;Finex International, Inc.;2019-11-20T10:29:49+0300;0;0;Полный день;Полная занятость;Крупной российской торгово-производственной компании требуется ОПЫТНЫЙ ПРОГРАММИСТ 1С. Обязанности Второй программист 1С в отдел IT. В основном доработка конфигурации 1С на основе сильно изменённой УПП 1.2 (многопередельное нетиповое производство, торговля, CRM), изредка типовые ЗиУП и БП и доработка правил обмена между ними (КД). Для УПП потребуется связь с внешними системами - интернет-телефония, gmail, сервисы SMS рассылок, сайт компании, трекер задач, плюс всё тому подобное, что пока не придумали, но непременно понадобится. Администрирование пользователей и прямое взаимодействие с ними (понимать, чего они хотят и разъяснять им результат своей работы в части, их касающейся). Требования Желателен опыт работы с УПП 1.х или хотя бы УТ 10.х. Обязательно хорошее знание обычных форм. Успешное прохождение тестирования. Условия Работа в крупной торгово-производственной компании. Оклад по результатам собеседования + премиальные. Обсуждается индивидуально на собеседовании. Красивый, современный офис в центре Москвы в 3-х минутах от метро Сретенский бульвар, Тургеневская, Чистые пруды.;;Желателен опыт работы с УПП 1.х или хотя бы УТ 10.х. Обязательно хорошее знание обычных форм.;В основном доработка конфигурации 1С на основе сильно изменённой УПП 1.2 (многопередельное нетиповое производство, торговля, CRM), изредка типовые...;"1С программирование; 1С: Торговля и склад; 1С: Зарплата и управление персоналом; 1С: Управление Производственным Предприятием; 1С: Управление Торговлей; Обновление конфигурации 1С"
88;Программист 1С;Тюмень;80000.0;150000.0;Тюменский государственный университет ФГАОУ ВО;2019-11-15T14:33:06+0300;1;3;Полный день;Проектная работа;"Обязанности:  разработка нового и изменение существующего функционала информационной системы 1С:Предприятие 8.3; интеграция 1С с 1С и с внешними системами; сопровождение информационной системы; составление спецификации/инструкции на разрабатываемый программный комплекс или его часть.  Требования:  владение встроенным языком программирования 1С; опыт работы в клиент-серверном режиме; опыт работы в данной отрасли от 1 года; приветствуется знание 1С: Управление холдингом; приветствуется знание бухгалтерского учета и бюджетирования.  Условия:  срочный трудовой договор на срок выполнения проекта (2 года); пятидневная рабочая неделя (с 9:00 до 18:00); своевременная белая заработная плата; новый, уютный офис в историческом центре города в районе Набережной р. Тура. ";"  срочный трудовой договор на срок выполнения проекта (2 года); пятидневная рабочая неделя (с 9:00 до 18:00); своевременная белая заработная плата; новый, уютный офис в историческом центре города в районе Набережной р. Тура. ";Владение встроенным языком программирования 1С. Опыт работы в клиент-серверном режиме. Опыт работы в данной отрасли от 1 года. ;Разработка нового и изменение существующего функционала информационной системы 1С:Предприятие 8.3. Интеграция 1С с 1С и...;
16;Программист 1С;Санкт-Петербург;130000.0;150000.0;Интерлизинг;2019-11-20T17:05:07+0300;1;3;Полный день;Полная занятость;"ГК Интерлизинг ищет Программиста 1С в связи с расширением штата. Требования:  Свободное владение встроенным языком программирования 1С:Предприятие 8.3, опыт работы с управляемыми формами обязателен; Желательно знание типовых конфигураций, «Управление Холдингом», Бухгалтерия Предприятия (3.0), «СРМ», «Зарплата и Управление персоналом 3.1»; Знание основ бухгалтерского, управленческого учета, расчета заработной платы; Опыт работы в компаниях с разветвленной филиальной структурой в своей зоне ответственности; Знание механизмов интеграции 1С:Предприятия с другими информационными системами (web-сервисы, com-соединения) Знание СКД, БСП2.1 и БСП 3.0; Написание кода в соответствии с «Системой стандартов и методик разработки конфигураций для платформы 1С:Предприятие 8»; Умение работать в команде используя хранилища конфигураций; Опыт работы с расширениями в разных режимах совместимости.  Задачи:  Участие в проектах по внедрению программных средств 1С; Сопровождение и доработка баз данных 1С: «Управление Холдингом», СРМ:  обновление конфигураций «типовых» и «нетиповых»; настройка прав пользователей; обучение пользователей; написание пользовательской документации; консультирование пользователей.   Кодирование по ТЗ на платформе 1С 8.3; Администрирование и программное сопровождение конфигураций 1С: «Управление Холдингом», СРМ.  Условия:  Работа в федеральной лизинговой компании с успешной 20-летней историей (ТОП-20 лизинговых компаний); Оформление и ведение отношений в соответствии с ТК РФ; Полностью официальная заработная плата- оклад и премии. Финальный уровень обсуждается на собеседовании; ДМС - после года работы Комфортный офис по адресу: Петроградская наб, БЦ Линкор ";"  Работа в федеральной лизинговой компании с успешной 20-летней историей (ТОП-20 лизинговых компаний); Оформление и ведение отношений в соответствии с ТК РФ; Полностью официальная заработная плата- оклад и премии. Финальный уровень обсуждается на собеседовании; ДМС - после года работы Комфортный офис по адресу: Петроградская наб, БЦ Линкор ";Свободное владение встроенным языком программирования 1С:Предприятие 8.3, опыт работы с управляемыми формами обязателен. Желательно знание типовых конфигураций...;Участие в проектах по внедрению программных средств 1С. Сопровождение и доработка баз данных 1С: «Управление Холдингом», СРМ: Обновление...;
64;Программист 1С;Санкт-Петербург;90000.0;120000.0;Фармакор Продакшн;2019-11-20T11:18:11+0300;3;6;Полный день;Полная занятость;"Группа компаний (производство, рестораны, услуги) приглашает программиста 1С (в единственном числе). Обязанности:  Проектирование и доработка систем автоматизации предприятия на базе 1С8.2.-8.3 (разработка отдельных функциональных модулей, интеграция с другими ИТ-системами, внедрение, сопровождение); консультирование пользователей; создание инструкций.  Требования:  соответствующий опыт работы от 3-ех лет; опыт администрирования 1С:Предприятие 8; опыт разработки в среде 1С:Предприятие 8; знание типовых продуктов 1С ЗУП 3‚ УТ 10.3, УПП 1.3 (в части ведения заявок на расходование средств, отчета производства за смену и складского учета) знание СКД; опыт работы с планами и правилами обмена; опыт работы с УФ; знание основ управленческого и бухгалтерского учета; умение формализовать требования заказчиков (сотрудников).  Будет преимуществом:  наличие сертификатов 1С; наличие собственных разработок.  Условия:  работа в производственной компании с интересными задачами; график работы с понедельника по пятницу, с 9.30 до 18.00. Возможен график 2 дня в неделею на удаленке, 3 дня в офисе. заработная плата по результатам собеседования (в зависимости от квалификации и графика работы). офис в Приморском районе, собственная парковка, собственная столовая. ";"  работа в производственной компании с интересными задачами; график работы с понедельника по пятницу, с 9.30 до 18.00. Возможен график 2 дня в неделею на удаленке, 3 дня в офисе. заработная плата по результатам собеседования (в зависимости от квалификации и графика работы). офис в Приморском районе, собственная парковка, собственная столовая. ";Соответствующий опыт работы от 3-ех лет. Опыт администрирования 1С:Предприятие 8. Опыт разработки в среде 1С:Предприятие...;Проектирование и доработка систем автоматизации предприятия на базе 1С8.2.-8.3 (разработка отдельных функциональных модулей, интеграция с...;
41;Программист 1С;Екатеринбург;90000.0;120000.0;1-й Советник;2019-11-19T12:10:14+0300;3;6;Полный день;Полная занятость;"От Вас: - программирование в системах 1С: Предприятие (желателен опыт работы с 1C:ERP, 1С:УПП);- поддержка и разработка типовых и нетиповых конфигураций;- тестирование доработанного функционала и взаимодействие с Бизнес-аналитиками. Требования: - опыт программирования в системах 1С:Предприятие 8.х не менее года (обычные/управляемые формы);- опыт работы на проектах внедрения 1С (командная работа: бизнес-аналитики и программисты);- понимание и соблюдение стандартов 1С при разработке;- высшее или средне-техническое образование;- наличие сертификатов будет плюсом;- желание и умение работать в условиях многозадачности, часто несколько задач в работе. От нас: - обучение за счет Работодателя, время выделенное на обучение для получения сертификатов - оплачивается; - участие в крупных федеральных проектах, работа с командой опытных разработчиков; - отсутствие взаимодействия с Заказчиком, вы работаете только на проектах; - пятидневная рабочая неделя, с 9:00 до 18:00, возможно с 08:00 до 17:00, выходные – суббота, воскресенье;- официальное трудоустройство, социальный пакет согласно ТК РФ;- офис расположен в районе Южного Автовокзала, в 5-ти минутах ходьбы от станции метро Чкаловская, рядом с Ботаническим садом;- комфортный и уютный офис, крутая команда профессионалов, группы по интересам, корпоративные мероприятия и праздники. Ждем Вас в нашем офисе, обсудим больше подробностей!  ";;опыт работы на проектах внедрения 1С (командная работа: бизнес-аналитики и <highlighttext>программисты</highlighttext>). - понимание и соблюдение стандартов 1С при...;поддержка и разработка типовых и нетиповых конфигураций. - тестирование доработанного функционала и взаимодействие с Бизнес-аналитиками. - отсутствие взаимодействия с Заказчиком, вы...;
51;Программист 1С;Новосибирск;80000.0;110000.0;Брокеркредитсервис;2019-11-20T12:33:28+0300;1;3;Гибкий график;Полная занятость;Почему мы тебя ищем? Наша компания растет и нам нужно смотреть вперед. У нас стоит цель по изменению наших процессов, для того чтобы стать компанией, ориентированной на цифровой бизнес. В связи с этим у нас много задач и мы хотим найти соратника, который поможет нам усилить наши возможности по их решению. Чем ты будешь заниматься?  Разрабатывать интеграционные сервисы. Создавать инструменты. Работать в Agile-команде.  Что наша команда ждет от тебя?  Что ты привнесешь свой опыт, энергию и знания. Тебе не безразличны результаты работы твоей команды. Тебе нравится выдавать качественный результат. Ты думаешь над тем как сделать команду эффективней.  Чего мы хотим добиться?  Провести большие архитектурные изменения. Оптимизировать наши текущие процессы. Приносить все большую ценность для нашей компании.  Какие технологии мы используем? 1С, XML/XSD/XSLT, Git, Allure, BDD (Vanessa-behavior), OneScript, C#, SQL, High Load, Big Data. Мы не стесняемся использовать то, что нам быстро принесет результат. Почему у нас отличная работа?  Интересные задачи. Agile подход. Профессиональная команда. Комфортное рабочее место с 2 мониторами. Мы стараемся развиваться и развивать скилы нашей команды. Мы уверены, что жизнь прекрасна и хотим сделать этот мир прекрасным.  Что еще?  У нас 8-часовой рабочий день. Белая зарплата с окладом, составляющим 100% от указанного в договоре. Плюсом бывают квартальные и годовые бонусы. Офис в центре города.   ;;Что ты привнесешь свой опыт, энергию и знания. Тебе не безразличны результаты работы твоей команды. Тебе нравится выдавать качественный результат. ;Разрабатывать интеграционные сервисы. Создавать инструменты. Работать в Agile-команде.;"1С программирование; SQL"
64;Программист 1С;Тюмень;;100000.0;РУСОЙЛ;2019-11-18T15:17:03+0300;1;3;Полный день;Полная занятость;"Обязанности:  сопровождение программных продуктов 1С (конфигурации 1C:БУХ, 1С:ЗУП, 1С:УПП); разработка функционала по техническому заданию. обновление модифицированных конфигураций, создание отчетов и обработок, переносы данных, переходы на новые конфигурации обучение и консультирование пользователей.  Требования:  владение программой 1С, опыт программирования образование и стаж работы 1-3 года  Условия:  Официальное трудоустройство Оплата труда обсуждается индивидуально ";  Официальное трудоустройство Оплата труда обсуждается индивидуально ;Владение программой 1С, опыт программирования. Образование и стаж работы 1-3 года.;Сопровождение программных продуктов 1С (конфигурации 1C:БУХ, 1С:ЗУП, 1С:УПП). Разработка функционала по техническому заданию. ;
17;Программист 1С;Екатеринбург;;100000.0;ГК Уралхозторг;2019-11-20T15:44:33+0300;1;3;Полный день;Полная занятость;"ГК Уралхозторг - оптовый поставщик хозяйственных товаров для дома и дачи - приглашаем на работу  программиста 1 С. Команда компании работает на рынке Уральского федерального округа с 1995 г. Мы продаем оптом хозяйственные товары, товары для сада, дома, дачи, а также печное литье, замки, дверную и мебельную фурнитуру. Нашими клиентами являются более 2000 компаний Уральского федерального округа (УрФО): региональные оптовики, оптовые базы, рынки, сетевые, строительные, мебельные магазины и магазины садово-огородной тематики. Ассортимент более 15 000 позиций, 5 собственных торговых марок. Наш персонал - важен для нас! Если Вы увлеченный специалист, стремящийся добиваться результата, мы приглашаем Вас в свою команду! КЛЮЧЕВЫЕ ЗАДАЧИ:   анализ требований пользователей;   доработка конфигураций 1 С под нужды заказчика;   консультирование пользователей по текущему функционалу;   разбор ошибок пользователей, поиск причин и способов устранения.   ПОЖЕЛАНИЯ К КАНДИДАТАМ:   опыт сопровождения систем на базе 1С 8.3;   знание типовой конфигурации 1С: Управление торговлей, Розница, Бухгалтерия;   знание конвертации данных 2;   умение общаться с пользователями, формализовать проблему.   МЫ РАДЫ ПРЕДЛОЖИТЬ ВАМ:  официальное трудоустройство, соц. пакет по ТК РФ; профессиональный рост; заработная плата (до 100 000 руб,, рассматриваются ожидания кандидатов); гибкий график работы.   ";;Опыт сопровождения систем на базе 1С 8.3. Знание типовой конфигурации 1С: Управление торговлей, Розница, Бухгалтерия. ;Анализ требований пользователей. Доработка конфигураций 1 С под нужды заказчика. Консультирование пользователей по текущему функционалу. Разбор ошибок пользователей, поиск причин...;
95;Программист 1С;Тюмень;70000.0;90000.0;Автоград Центр;2019-11-13T09:47:24+0300;1;3;Полный день;Полная занятость;Требуются программисты разного уровня (junior, middle, Senjor), в т.ч. и веб-разработчики. В зависимости от уровня профессионализма обсуждаются пожелания кандидатов по з.п. Мы можем предоставить много интересных задач и возможность развиваться в профессиональном плане и достойную заработную плату.   Требуемый опыт работы: 1–3 года Полная занятость, полный день Должностные обязанности: • Разработка программного обеспечения на базе 1С с интеграцией к WEB,Python   Требования: • Образование: высшее, неоконченное высшее, среднее • Стаж работы: от трех лет, или не менее 1 года программирования 1:С. • Владение ПК: профессиональное • Личностные качества: аналитическое мышление, быстрая обучаемость, ответственность, целеустремленность, добросовестность, аккуратность и пунктуальность. Профессиональные качества: • 1C Предприятие 8.3 • Умение разбираться в чужом коде • Понимание, создание и изменение бизнес-процессов • WEB-сервисы 1C • Запросы 1С и SQL (обязательно) • Python, JS, Websockets и пр. (приветствуется) • Опыт работы с Linux (приветствуется) • Опыт работы с WebRTC (приветствуется)   Условия: • Отличный профессиональный коллектив , возможность профессионального развития и самореализации, карьерного роста. • Трудоустройство официальное, корпоративные мероприятия и спорт.; • Отличный профессиональный коллектив , возможность профессионального развития и самореализации, карьерного роста. • Трудоустройство официальное, корпоративные мероприятия и спорт.;Образование: высшее, неоконченное высшее, среднее. Стаж работы: от трех лет, или не менее 1 года программирования 1:С. ;Разработка программного обеспечения на базе 1С с интеграцией к WEB,Python.;"1С программирование; JavaScript; MySQL; Python"
