;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
9;Инженер-программист;Санкт-Петербург;80000.0;160000.0;Фирма НИТА;2019-11-20T12:39:52+0300;3;6;Полный день;Полная занятость;Обязанности:  Разработка программно-аппаратных решений в области управления воздушным движением, среди которых: Системы записи информации различного вида Системы диагностики Системы защиты информации Системы управления воздушным движением Прочие системы, решающие задачи в обл. управления воздушным движением Работа в интересной отрасли высокотехнологичной промышленности Разработка “реального” продукта, который можно “потрогать руками”  Требования:  Хорошее знание С++, STL Опыт кроссплатформенной разработки Windows/Linux Опыт многопоточного программирования Опыт сетевого программирования Опыт программирования пользовательского интерфейса с использованием Qt Хорошая математическая подготовка, навыки решения алгоритмических задач Умение работать в команде, коммуникативные навыки  Условия: - ДМС после окончания испытательного срока - скидка на абонемент в фитнес  ; - ДМС после окончания испытательного срока - скидка на абонемент в фитнес  ;Хорошее знание С++, STL. Опыт кроссплатформенной разработки Windows/Linux. Опыт многопоточного программирования. Опыт сетевого программирования. Опыт программирования пользовательского интерфейса с...;Разработка программно-аппаратных решений в области управления воздушным движением, среди которых: Системы записи информации различного вида. Системы диагностики. ;"Qt; C++; Linux; STL; Windows 7"
7;Инженер-программист;Екатеринбург;70000.0;130000.0;OOO PSI;2019-11-20T07:56:27+0300;3;6;Полный день;Полная занятость;"Компания PSI Metals Россия (входит в конценрн PSI Software AG, Германия), ведущий международный поставщик программного обеспечения для металлургической отрасли, приглашает специалистов на должность инженера-программиста. Компания существует на рынке уже 50 лет и является поставщиком решений для ведущих мировых и российских производителей стали и алюминия. Разработанная комплексная система управления производством металлургического предприятия включает в себя следующие продукты: планирование производства, учет производства и качества, склады и логистика, учет энергоресурсов, автоматизация и интеграция. Все продукты компании непрерывно развиваются и модернизируются с использованием актуальных технологий разработки ПО. Работа в международной динамичной компании - отличное продолжение карьеры как для опытного инженера, так и для начинающих специалистов, желающих максимально раскрыть свой потенциал. Инженер-программист будет участвовать во всем жизненном цикле проектов и будет отвечать за:  Разработку проектов и внедрение систем управления производством на базе программных продуктов компании (адаптация системы под конкретный проект, пусконаладочные работы, сдача в эксплуатацию, техническое обслуживание и сопровождение); Разработку прикладного математического и программного обеспечения; Разработку эксплуатационной документации; Конфигурацию готового программного продукта; Техническую поддержку пользователей; Подготовку и обучение пользователей.    Ключевые навыки:  Высшее образование в области информатики или математики; Опыт разработки сложных моделей данных и алгоритмов; Навыки работы с базами данных (Oracle) и высокоуровневыми языками программирования (Java); Знание английского языка для общения с коллегами по всему миру устно и письменно; Не обязательны, но являются преимуществом опыт в автоматизации бизнес-процессов металлургических предприятий.    Мы предлагаем следующие условия труда:  Работа в офисе в центре Екатеринбурга с периодическими командировками; Полный рабочий день (график гибкий, ненормированный); Зарплата по результатам собеседования; Медицинская страховка; Соблюдение ТК РФ; Дружный коллектив опытных высококвалифицированных специалистов; Перспективы карьерного роста.    Присоединяйтесь к нашей команде!";;Высшее образование в области информатики или математики. Опыт разработки сложных моделей данных и алгоритмов. Навыки работы с базами данных (Oracle...;Разработку проектов и внедрение систем управления производством на базе программных продуктов компании (адаптация системы под конкретный проект, пусконаладочные работы, сдача...;"ORACLE; SQL; Java; Oracle Pl/SQL"
52;Инженер-программист;Санкт-Петербург;70000.0;70000.0;ДИАЛОГ;2019-11-20T17:26:20+0300;1;3;Полный день;Полная занятость;"ООО «Диалог» - одна из крупнейших дистрибьюционно-логистических компаний в Северо-Западном регионе России, специализирующаяся на работе с продуктами питания . Обязанности:  Разработка Хранилища данных на платформе MS SQL Server; Разработка и сопровождение корпоративного программного обеспечения Разработка клиентских интерфейсов и шаблонов отчётов; Задачи разного уровня сложности, преимущественно связанные со складским и бухгалтерским учетом, внутренним документооборотом компаний, поддержкой внутренних бизнес-процессов, интеграции разнородных систем;    Требования:  Образование – высшее; Знание MS SQL, навыки написания и оптимизации сложных запросов, создании хранимых процедур, представлений; Опыт поддержки баз данных, разработки клиент-серверных приложений в MS SQL;   Знание T-SQL, VB script, Delphi, Java, C#/   Навыки разработки интерфейсов, аналитических отчётов.   Умение быстро ориентироваться в существующем коде; Опыт взаимодействия с Заказчиком при формировании бизнес-требований к разработке, при вводе систем в эксплуатацию и последующем сопровождении; Хорошие коммуникативные навыки, бесконфликтность, быстрая обучаемость, умение работать в команде, умение проводить технический анализ задачи, умение документировать свою работу.  Приветствуется  Знания в области интеграции различных систем, электронного обмена данными между приложениями Опыт работы с программами по ведению бухгалтерской и финансовой отчетности Опыт работы с XML ,JSON    Для нас важны такие качества как:  Умение планировать время и оценивать свои силы на поставленные задачи; Ответственность; Нацеленность на результат;    Условия:  Нормированный 8-часовой рабочий день понедельник-пятница с 9.00 до 18.00 5/2; Оформление согласно ТК РФ; Работа в команде профессионалов; Работа в Колпино. Развозка от м.Купчино.   ";"  Нормированный 8-часовой рабочий день понедельник-пятница с 9.00 до 18.00 5/2; Оформление согласно ТК РФ; Работа в команде профессионалов; Работа в Колпино. Развозка от м.Купчино.   ";Образование – высшее. Знание MS SQL, навыки написания и оптимизации сложных запросов, создании хранимых процедур, представлений. Опыт поддержки баз данных, разработки...;Разработка Хранилища данных на платформе MS SQL Server. Разработка и сопровождение корпоративного программного обеспечения. Разработка клиентских интерфейсов и шаблонов отчётов. ;
11;Инженер-программист;Екатеринбург;55000.0;65000.0;НИПИГОРМАШ;2019-11-19T10:14:50+0300;1;3;Полный день;Полная занятость;Обязанности:  Поиск и устранение неисправностей на готовом изделии. Проверка алгоритмов работы оборудования. Диагностика, внесение корректировок в работу оборудования.  Требования:  Знание TIA Portal. Знание основ Pascal/Delphi. Понимание протоколов Modbus RTU/TCP. Понимание интерфейсов 4-20мА, RS485, CAN. Умение настраивать TPM фирмы OBEH. Понимание принципов работы частотных преобразователей и принципов их настройки. Личные качества: желание учиться и развиваться, 100% персональная ответственность за результаты работы. Готовность к командировкам.  Условия:  Мы предлагаем работу в динамично развивающейся компании с интересными международными проектами. Мы создаем комфортные условия для саморазвития обучения и профессионального роста. Профессиональное обучение за счет средств компании. Мы прозрачны и стабильны в рамках трудового законодательства. Выплата заработной платы 2 раза в месяц на банковскую карту. Ежегодная индексация, выплата 13 заработной платы. Место работы: Вторчермет. Уважаемые кандидаты! Опубликованные требования базовые и не являются исчерпывающими. ;  Мы предлагаем работу в динамично развивающейся компании с интересными международными проектами. Мы создаем комфортные условия для саморазвития обучения и профессионального роста. Профессиональное обучение за счет средств компании. Мы прозрачны и стабильны в рамках трудового законодательства. Выплата заработной платы 2 раза в месяц на банковскую карту. Ежегодная индексация, выплата 13 заработной платы. Место работы: Вторчермет. Уважаемые кандидаты! Опубликованные требования базовые и не являются исчерпывающими. ;Знание TIA Portal. Знание основ Pascal/Delphi. Понимание протоколов Modbus RTU/TCP. Понимание интерфейсов 4-20мА, RS485, CAN. ;Поиск и устранение неисправностей на готовом изделии. Проверка алгоритмов работы оборудования. Диагностика, внесение корректировок в работу оборудования.;
7;Инженер-программист;Тюмень;37000.0;63000.0;Связьтранснефть;2019-11-18T15:33:55+0300;3;6;Полный день;Полная занятость;Обязанности: Администрирование серверов Windows (Active Directory, DNS, DHCP, HyperV, MSSQL, PowerShell, GPO, WSUS, VMware, Citrix). СХД. Microsoft Exchange. Контроль и обеспечение резервного копирования и антивирусной безопасности на серверах. Работа в режиме ServiceDesk, исполнение запросов. Консультирование и техническая поддержка локальных и удаленных пользователей. Настройка и мелкий ремонт огртехники. Оформление документации, инструкций . Внедрение новых продуктов и решений.   Требования: высшее профессиональное образование, опыт работы не менее 3-х лет Условия: коллективный договор работа, ВРЕМЕННАЯ, на  1 год  ; коллективный договор работа, ВРЕМЕННАЯ, на  1 год  ;Администрирование серверов Windows (Active Directory, DNS, DHCP, HyperV, MSSQL, PowerShell, GPO, WSUS, VMware, Citrix). СХД. Microsoft Exchange. Высшее профессиональное образование...;Контроль и обеспечение резервного копирования и антивирусной безопасности на серверах. Работа в режиме ServiceDesk, исполнение запросов. Консультирование и техническая поддержка...;"Active Directory; Citrix; PowerShell; WSUS; Windows Server 2003"
86;Инженер-программист;Тюмень;40000.0;60000.0;Теплолюкс-Тюмень;2019-11-16T21:03:06+0300;3;6;Полный день;Полная занятость;"Обязанности: Разработка ПО для контроллеров ОВЕН, WAGO, SIEMENS Требования: Требуется знание:руководящие и нормативные материалы, регламентирующие методы разработки алгоритмов и программ и использования вычислительной техники при обработке информации;- основные принципы структурного программирования;- виды программного обеспечения;- технологию автоматической обработки информации и кодирования информации;- формализованные языки программирования. Условия:Официальное трудоустройство.Полный соцпакет. Высшее законченное электротехническое образование (очная форма обучения)по специальностям: «Автоматизация технологических процессов и производств», «Автоматизированные системы обработки информации и управления», «Автоматизация и управление», «Управление и информатика в технических системах». «Информатика и вычислительная техника», «Электроснабжение»опыт программирования контроллеров ОВЕН, WAGO, SIEMENS;знание электроники, электротехники, принципов работы оборудования КИПиА, электрооборудованияопыт работы с оборудованием промышленной автоматизации, электрооборудованием;понимание нормативной базы, предъявляемой к создаваемым документам и системам: ПУЭ, ГОСТы, ПБ, ФЗ;Уверенное владение ПК, MS Office, AutoCad, EPLAN Electric";"Официальное трудоустройство.Полный соцпакет. Высшее законченное электротехническое образование (очная форма обучения)по специальностям: «Автоматизация технологических процессов и производств», «Автоматизированные системы обработки информации и управления», «Автоматизация и управление», «Управление и информатика в технических системах». «Информатика и вычислительная техника», «Электроснабжение»опыт программирования контроллеров ОВЕН, WAGO, SIEMENS;знание электроники, электротехники, принципов работы оборудования КИПиА, электрооборудованияопыт работы с оборудованием промышленной автоматизации, электрооборудованием;понимание нормативной базы, предъявляемой к создаваемым документам и системам: ПУЭ, ГОСТы, ПБ, ФЗ;Уверенное владение ПК, MS Office, AutoCad, EPLAN Electric";Руководящие и нормативные материалы, регламентирующие методы разработки алгоритмов и программ и использования вычислительной техники при обработке информации. - основные принципы структурного...;Обязанности: Разработка ПО для контроллеров ОВЕН, WAGO, SIEMENS. - виды программного обеспечения. - технологию автоматической обработки информации и кодирования информации. - ;
21;Инженер-программист;Тюмень;30000.0;38000.0;МУП УТВиВ Сибиряк МО с.п.Нижнесортымский;2019-10-28T10:21:37+0300;3;6;Полный день;Полная занятость;Обязанности:  Разрабатывает инструкции по работе с программами, оформляет необходимую техническую документацию. Определяет возможность использования готовых программных продуктов. Разрабатывает и внедряет системы автоматической проверки правильности программ, типовых и стандартных программных средств, составляет технологию обработки информации. Обеспечивает качественное выполнение всех видов работ, связанных с разработкой и функционированием сайта предприятия. Осуществляет разработку и изменение дизайна и структуры сайта предприятия, разработку новых веб-страниц, программно-техническую поддержку, реализацию политики разграничения доступа и безопасность информационных ресурсов. Оформляет статьи и другие информационные материалы для сайта, осуществляет текущие изменения структуры сайта. Осуществляет техническую эксплуатацию, бесперебойную работу компьютеров и отдельных устройств. Разрабатывает график проведения работ по техническому обслуживанию и ремонту компьютерного оборудования. Работа с программами 1С.  Требования:  Высшее профессиональное (техническое или инженерно-экономическое) образование, стаж работы в должности не менее 3-х лет. ;;Высшее профессиональное (техническое или инженерно-экономическое) образование, стаж работы в должности не менее 3-х лет.;Разрабатывает инструкции по работе с программами, оформляет необходимую техническую документацию. Определяет возможность использования готовых программных продуктов. Разрабатывает и внедряет системы...;"1С программирование; 1С: Зарплата и управление персоналом; 1С: Бухгалтерия; Администрирование сетевого оборудования"
46;Инженер-программист;Тюмень;120000.0;;Газпром энергосбыт Тюмень;2019-11-19T07:14:17+0300;1;3;Полный день;Полная занятость;Обязанности: Разработка приложений на платформе 1С:Предприятие 8.3, разработка приложений на управляемых формах, внедрение и сопровождении типовых конфигураций на платформе 1С Предприятия 8.3. Требования: знание языка конфигурирования 1С, навыки написания и оптимизации запросов, понимание особенностей платформы 1С, Разработчик приложений на платформе 1С:Предприятие 8.3   Условия:  Возможны варианты постоянного и временного трудоустройства. Работа в офисах Общества в следующих населенных пунктах: Тюмень, Сургут. ;  Возможны варианты постоянного и временного трудоустройства. Работа в офисах Общества в следующих населенных пунктах: Тюмень, Сургут. ;Знание языка конфигурирования 1С, навыки написания и оптимизации запросов, понимание особенностей платформы 1С.;...сопровождении типовых конфигураций на платформе 1С Предприятия 8.3. <highlighttext>Разработчик</highlighttext> приложений на платформе 1С:Предприятие 8.3. ;"1С: Предприятие 8; 1С программирование; 1С: Розница; 1С: Документооборот"
57;Инженер-программист;Тюмень;;;Сургутнефтегазбанк;2019-11-19T10:39:12+0300;1;3;Полный день;Полная занятость;"Обязанности:    администрирование систем дистанционного банковского обслуживания, программы лояльности;   разработка и сопровождение модулей интеграции систем дистанционного банковского обслуживания с банковской автоматизированной системой на Oracle PL/SQL и Java;   тестирование мобильных и web-приложений, в том числе проверка на предмет информационной безопасности;   вторая линия поддержки пользователей и клиентов Банка;   разработка и сопровождение банковского программного обеспечения;   сопровождение пользователей при работе с программным обеспечением Банка;   разработка схем данных и технологических решений по разрабатываемым задачам;   разработка инструкций для пользователей и руководства программиста по разрабатываемым и модифицируемым программным продуктам;   осуществление внедрения совместно с пользователями и разработчиками отдельных программных комплексов в опытную, а затем в производственную эксплуатацию.   Требования:  высшее техническое образование; опыт работы в области ИТ желателен; языки программирования: PL/SQL, SQL (диалект Oracle 11g), Java; средство разработки: Oracle Forms 6i Developer, SQL Navigator; системы контроля версий; система BugTracking; сервер приложений Tomcat; знание основ бухгалтерского учета в банках; знание принципов безопасного web-программирования; понимание архитектуры мобильных и web-приложений.  Условия работы:   работа в одном из крупнейших региональных банков РФ; официальное трудоустройство в соответствии с ТК РФ; ДМС, санаторно-курортное лечение для сотрудников и их детей. ";;Средство разработки: Oracle Forms 6i <highlighttext>Developer</highlighttext>, SQL Navigator. Системы контроля версий. Система BugTracking. Сервер приложений Tomcat. Знание основ бухгалтерского...;Разработка инструкций для пользователей и руководства <highlighttext>программиста</highlighttext> по разрабатываемым и модифицируемым программным продуктам. Осуществление внедрения совместно с пользователями и <highlighttext>разработчиками</highlighttext>...;
41;Инженер-программист;Санкт-Петербург;;;Big Data Solutions;2019-11-20T11:08:53+0300;3;6;Полный день;Полная занятость;Big Data Solutions – международная финтех компания, разрабатывающаю высоконагруженные системы. В работе мы используем time series базу данных OneTick.Запросы на OneTick можно представить как направленные ациклические графы, где каждый узел - это операция над данными, и они проходят через граф. Можно писать запросы, создавая граф в графическом редакторе, или на питоне, используя OneTick как библиотеку. Офис в Санкт-Петербурге продолжает развиваться. Мы постоянно ищем «Software Engineer». Если Вы готовы развиваться в финтех сфере и заниматься задачами по обработке большого количества структурированных данных, то Вы «наш» сотрудник и мы рады видеть Вас в нашей команде! :)Вы присоединитесь к экспертам в области Regulatory Technology и будете работать в уютном офисе на Гороховой. Уже в первые месяцы Вы увидите свой код в production, а также напрямую работать с клиентами - международными банками и хэдж фондами.Мы разрабатываем собственные продукты, поэтому в нашей компании Вы не встретите внешних заказчиков и работы на аутсорсе. Наш инстаграм @big_data_solutions. Join :) Примеры наших продуктов: Trade Surveillance - мы помогаем компаниям торгующим на биржах проверять свой поток заказов на стратегии, которые пытаются повлиять на рыночную цену или манипулировать другими участниками. Best Ex - мы позволяем компаниям оценить насколько хорошо их заказы исполняются на разных биржах относительно рыночной цены и насколько они влияют на рыночную цену.   Вашими задачами будут:  Работа в проектах POC для крупнейших международных финансовых организаций. Разработка программного обеспечения для мониторинга и анализа высокочастотной торговли на биржах:   Проверка высокочастотной торговли на предмет манипуляций, запрещенных регуляторами. Анализ эффективности торговли клиентов на финансовых площадках.   Разработка технических решений с нуля. Работа с биржевыми данными, в различных форматах включая: equities, FX, fixed income, фьючерсы, опционы, и spreads.    Требования:  Хорошие аналитические навыки. Хорошие навыки работы со скриптовыми языками, такими как Python или Perl. Опыт работы с языками, такими как C++, Java, желателен. Уверенный пользователь Linux (командная строка). Опыт работы с Windows желателен. Опыт работы с SQL, time-series базами данных, нормализацией данных является плюсом. Опыт работы на финансовом рынке является плюсом. Знание английского языка обязательно (письменный и разговорный). Мы работаем в международной команде.    Будет плюсом:  Опыт работы на финансовом рынке. Опыт работы с Gitlab (+CI/CD) / Jenkins / Apache Airflow. Опыт работы с С++, Java. Опыт работы с SQL, time-series базами данных, нормализацией данных. Опыт работы с Hadoop (Hive, Pig, Scoop), Apache Spark, Kafka. Опыт разработки на R, Matlab.  Мы предлагаем:  Работу в уютном офисе на ст. м. Сенная площадь. Официальное трудоустройство, полное соблюдение ТК РФ. Конкурентоспособная белая заработная плата (обсуждается индивидуально и зависит от Вашего опыта). ДМС (включая стоматологию) для сотрудников и членов их семьи. Страховка для путешествий. Курсы английского языка в офисе. Ежегодный бонус, зависящий от результатов работы. Частичная оплата занятий спортом. Гибкий график. ;  Работу в уютном офисе на ст. м. Сенная площадь. Официальное трудоустройство, полное соблюдение ТК РФ. Конкурентоспособная белая заработная плата (обсуждается индивидуально и зависит от Вашего опыта). ДМС (включая стоматологию) для сотрудников и членов их семьи. Страховка для путешествий. Курсы английского языка в офисе. Ежегодный бонус, зависящий от результатов работы. Частичная оплата занятий спортом. Гибкий график. ;Хорошие аналитические навыки. Хорошие навыки работы со скриптовыми языками, такими как Python или Perl. Опыт работы с языками, такими как...;Работа в проектах POC для крупнейших международных финансовых организаций. Разработка программного обеспечения для мониторинга и анализа высокочастотной торговли на биржах...;"Scripting; Linux; Python; Perl; Big Data"
