;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
62;Java-разработчик;Тюмень;30000.0;120000.0;Строительный Двор;2019-11-19T09:24:57+0300;1;3;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Java. Spring Framework (Boot, REST, Data-JPA). PostgreSQL. ;Проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes"
28;Программист Python;Тюмень;60000.0;120000.0;Оранж Рокетс;2019-10-29T15:35:40+0300;1;3;Полный день;Полная занятость;В связи с увеличением задач нам нужны помощники в команду разработчиков.Обязанности:  Участие в разработке серверной части мобильного приложения.  Требования:  Знание языка Python и фреймворка Django Хорошее знание SQL и опыт работы с PostgreSQL Желательно:  Опыт работы с AWS      Условия:  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;Знание языка Python и фреймворка Django. Хорошее знание SQL и опыт работы с PostgreSQL. Желательно: Опыт работы с AWS.;Участие в разработке серверной части мобильного приложения.;"Python; Django Framework; Git; PostgreSQL; ООП"
4;Программист Delphi;Санкт-Петербург;60000.0;120000.0;БиАйВи;2019-11-20T16:09:39+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. Основные клиенты: НПФ Сбербанк, СК Согласие, СК Согласие-вита, СК Альянс (бывшая РОСНО), СК CIV-LIFE, СК ВСК; Задачи разного уровня сложности, преимущественно связанные со страховым, налоговым и бухгалтерским учетом, внутренним документооборотом компаний, поддержкой внутренних бизнес-процессов, интеграции разнородных систем; Разработка Back решений;  Требования:  Знание SQL (ORACLE, MS SQL Server); Опыт работы на любом языке разработки высокого уровня (Delphi, С++, .Net, Java); Желателен опыт разработки корпоративного программного обеспечения; Умение работать с чужим кодом, грамотно его комментировать; Высокая стрессоустойчивость и способность к высоким нагрузкам;  Приветствуется:  Опыт работы с системами контроля версий (VSS, Mercurial и т.п.) Опыт работы с баг-трекерами (Redmine, Jira и т.п.) Знания в области интеграции различных систем, электронного обмена данными между приложениями Опыт работы с программами по ведению бухгалтерской и финансовой отчетности  Для нас важны такие качества как:  Умение планировать время и оценивать свои силы на поставленные задачи; Умение работать в команде ( в том числе удаленно); Ответственность; Нацеленность на результат; Желание постоянно расти и развиваться, используя современные технологии.  Условия:  Комфортный офис в центре города, оборудованный кухней; Возможность профессионального роста; Дружный и профессиональный коллектив; Оформление по ТК РФ; Полностью белая заработная плата. ";"  Комфортный офис в центре города, оборудованный кухней; Возможность профессионального роста; Дружный и профессиональный коллектив; Оформление по ТК РФ; Полностью белая заработная плата. ";Знание SQL (ORACLE, MS SQL Server). Опыт работы на любом языке разработки высокого уровня (Delphi, С++, .Net, Java). ;"Разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. Основные клиенты: НПФ &quot;Сбербанк&quot;, СК &quot;Согласие&quot;, СК...";"Delphi; ORACLE; MS SQL; Diasoft"
69;Программист С++/Qt;Екатеринбург;60000.0;120000.0;Прософт-Биометрикс;2019-11-12T09:51:54+0300;1;3;Полный день;Полная занятость;"Направление деятельности: биометрические системы контроля доступа и учета рабочего времени. Команда отдела биометрических систем разрабатывает биометрическую систему BioSmart. В нее входят ПО BioSmart Studio, контроллеры и терминалы по венам ладони и отпечаткам пальца. Мы ищем коллегу, которого надеемся увлечь биометрией. Основные задачи:  разработка клиентских и серверных приложений для систем биометрической идентификации; поддержка системы BioSmart; участие в проектах по внедрению системы BioSmart; разработка требований к новому функционалу приложений; разработка тестов; разработка документации; Участие в тестировании приложений.  Требования к кандидату:  опыт разработки на С++ не менее 2 лет; опыт разработки с использованием фреймворка Qt не менее 1 года; использование git или другой CVS; работа с системами баг-трекинга; знание SQL (postgresql).  Мы предлагаем:  заработная плата: оклад + премии, стартовые условия обсуждаются в зависимости от квалификации, опыта работы; трудовые отношения в полном соответствии с ТК РФ; ДМС, компенсация спортивного абонемента; место работы: Зоологическая. ";"  заработная плата: оклад + премии, стартовые условия обсуждаются в зависимости от квалификации, опыта работы; трудовые отношения в полном соответствии с ТК РФ; ДМС, компенсация спортивного абонемента; место работы: Зоологическая. ";Опыт разработки на С++ не менее 2 лет. Опыт разработки с использованием фреймворка Qt не менее 1 года. ;Разработка клиентских и серверных приложений для систем биометрической идентификации. Поддержка системы BioSmart. Участие в проектах по внедрению системы BioSmart. ;"C++; Qt; Git; Linux"
16;Программист 1C;Новосибирск;60000.0;120000.0;ИТ Интеграция;2019-11-19T09:34:13+0300;1;3;Полный день;Полная занятость;Обязанности:  Командная работа, внедрение, поиск/устранение ошибок в документах, обменах, разработка и доработка отчетов/форм/доп. функционала, настройка обменов и прочие сопутствующие мелочи (в основном по УТv8). Получить задачу от конечного пользователя/коллег, выполнить или делегировать коллегам, проинформировать пользователя, убедиться что нужный результат достигнут, закрыть задачу.  Требования:  Знание конфигурации УТ, положительный, предпочтительно длительный опыт решения вышеизложенных задач. Пунктуальность, ответственность, умение грамотно излагать мысли, желание развиваться, уравновешенность.  Условия:  Работа Новосибирском филиале, у компании офисы в 3 городах, 12 лет положительной практики. Командная работа, позитивная атмосфера, динамика. Профиль компании - Интегратор, работаем с интересными проектами, у нас сложно завязнуть в рутине. Стильный, современный, эргономичный офис, есть кухонная зона, регулируемые под анатомию тела рабочие места, климат система с притоком свежего воздуха, приветствуем современные подходы к эргономики и атмосфере в коллективе. Офис, в самом центре города, БЦ Новоград, Красный проспект, это симпатичный, современный Бизнес центр, расположен прям у входа в метро станции Красный проспект + переход на Сибирская (очень удобная транспортная схема), множество маршрутов общественного транспорта, не далеко площадь Калинина и Площадь Ленина. В здании БЦ царит живая, деловая атмосфера. Рядом множество торговых, административных и развлекательных учреждений. Наша клиентская база, это компании средних объемов (приятные люди) с которыми сотрудничаем много лет. Пятидневная рабочая неделя с 9 до 18 часов. Возможен график 4+1 (один день удалено) - рассматривается индивидуально, по результатам работы. Оплата - ставка + закрытые часы, верхний предел не ограничивается. При удержании хороших показателей премия. ;  Работа Новосибирском филиале, у компании офисы в 3 городах, 12 лет положительной практики. Командная работа, позитивная атмосфера, динамика. Профиль компании - Интегратор, работаем с интересными проектами, у нас сложно завязнуть в рутине. Стильный, современный, эргономичный офис, есть кухонная зона, регулируемые под анатомию тела рабочие места, климат система с притоком свежего воздуха, приветствуем современные подходы к эргономики и атмосфере в коллективе. Офис, в самом центре города, БЦ Новоград, Красный проспект, это симпатичный, современный Бизнес центр, расположен прям у входа в метро станции Красный проспект + переход на Сибирская (очень удобная транспортная схема), множество маршрутов общественного транспорта, не далеко площадь Калинина и Площадь Ленина. В здании БЦ царит живая, деловая атмосфера. Рядом множество торговых, административных и развлекательных учреждений. Наша клиентская база, это компании средних объемов (приятные люди) с которыми сотрудничаем много лет. Пятидневная рабочая неделя с 9 до 18 часов. Возможен график 4+1 (один день удалено) - рассматривается индивидуально, по результатам работы. Оплата - ставка + закрытые часы, верхний предел не ограничивается. При удержании хороших показателей премия. ;Знание конфигурации УТ, положительный, предпочтительно длительный опыт решения вышеизложенных задач. Пунктуальность, ответственность, умение грамотно излагать мысли, желание развиваться, уравновешенность.;Командная работа, внедрение, поиск/устранение ошибок в документах, обменах, разработка и доработка отчетов/форм/доп. функционала, настройка обменов и прочие...;"1С: Управление Торговлей; 1С: Розница"
82;Разработчик баз данных;Тюмень;70000.0;120000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки. Кого мы хотим найти: - человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть опыт с другими СУБД, если вы готовы учиться :) ); - желателен опыт работы с веб-технологиями; - желателен опыт командной разработки; - обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться и делать реально полезные вещи. Что мы предлагаем: - множество интересных задач; - дружелюбный коллектив; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть...;;
45;Web разработчик сайтов на 1C Bitrix (Frontend программист);Санкт-Петербург;70000.0;120000.0;Дипсон;2019-11-20T16:47:07+0300;0;0;Полный день;Полная занятость;"Мы крупная компания в сфере коммерческой недвижимости. Наша команда занимается развитием агрегатора хостелов, а также является самой большой федеральной сетью комфортных хостелов для строительных компаний. Наши объекты находятся в разных городах России. Мы быстро растем, привлекаем лучших специалистов, внедряем современные инструменты и технологии в работе. Ищем разработчика с возможностью карьерного роста в технического директора.Рассматриваем только кандидатов из Санкт-Петербурга на полный день в офис.Требования   Опыт работы программистом от 2-х лет;   Хорошие навыки работы с PHP   Знания HTML, CSS, JavaScript ( jQuery, AJAX)   Реализованные проекты на cms 1С Bitrix;   Умение разрабатывать свои компоненты / модули;   Умение разбираться в чужом коде и грамотно писать свой;   Желание и умение работать в команде!;   Умение самостоятельно искать информацию и находить решения;   Обязанности:   Доработка и поддержка сайта агрегатора на cms 1C Bitrix   Дополнительные Бонусы   Оплата обучения(оплата компанией профессиональных курсов и конференцийдля развития навыков)   Годовой бонус (бонусы в случае выполнения компанией годовых показателей)   Перспектива роста в тех. директора   Преимуществом будет:   Работа в web-студиях;   Опыт поддержки или создания агрегаторов   Опыт работы в крупных компаниях   Условия: График работы – пятидневка, с 10:00 до 19:00 или 09:00 до 18:00 Оформление по ТК РФ, полностью белая зарплата. Офис в 5-ти минутах от метро Спортивная. Санкт-Петербург, Малый проспект П.С. (Бизнес центр Петровский двор)"; График работы – пятидневка, с 10:00 до 19:00 или 09:00 до 18:00 Оформление по ТК РФ, полностью белая зарплата. Офис в 5-ти минутах от метро Спортивная. Санкт-Петербург, Малый проспект П.С. (Бизнес центр Петровский двор);Опыт работы <highlighttext>программистом</highlighttext> от 2-х лет. Хорошие навыки работы с PHP. Знания HTML, CSS, JavaScript ( jQuery, AJAX). ;Доработка и поддержка сайта агрегатора на cms 1C Bitrix.;"JavaScript; jQuery; Ajax; CSS; PHP5; 1С-Битрикс; HTML; PHP; HTML5"
13;Программист 1C;Новосибирск;70000.0;120000.0;СовПлим-Сибирь;2019-11-19T05:45:33+0300;3;6;Полный день;Полная занятость;"Обязанности:  Сопровождение информационных систем 1С 8.3 (конфигурации 1С: Бухгалтерия, 1С Зарплата и Управление Персоналом, 1С УПП). Создание, доработка и поддержка внешних отчетов и обработок, участков кода в соответствии с ТЗ, своевременное обновление информационных баз; Поддержка обменов как между системами на базе 1С, так между сторонними системами; Текущая поддержка и консультирование пользователей по общим вопросам работы 1С; Поддержка БП 2.0; Поддержка самописной CRM; Поддержка модифицированной УПП.  Требования:  Высшее профильное образование; Опыт работы с ПО 1С 8 от 1 года. Твердые знания типовых конфигураций 1С: Бухгалтерия предприятия, 1С Зарплата и управления персоналом, 1С: УПП; Знание клиент-серверной архитектуры 1С, управляемых форм, СКД; Умение разбираться в чужом коде; Готовность к высокоинтенсивной работе и самообучению; Отличное знание Excel; Желательно наличие сертификатов 1С:Профессионал и 1С:Специалист; Ответственность, стрессоустойчивость, умение общаться с людьми, желание разбираться в бизнес-процессах .  Условия:  Официальное трудоустройство; Удобный офис с хорошей транспортной развязкой; Дружный коллектив с богатой корпоративной культурой; Повышение квалификации и обучение за счет компании; Возможность профессионального роста и развития. ";"  Официальное трудоустройство; Удобный офис с хорошей транспортной развязкой; Дружный коллектив с богатой корпоративной культурой; Повышение квалификации и обучение за счет компании; Возможность профессионального роста и развития. ";"Высшее профильное образование. Опыт работы с ПО 1С 8 от 1 года. Твердые знания типовых конфигураций &quot;1С: Бухгалтерия...";Сопровождение информационных систем 1С 8.3 (конфигурации 1С: Бухгалтерия, 1С Зарплата и Управление Персоналом, 1С УПП). ;
19;Middle developer C#;Новосибирск;70000.0;120000.0;ИнСистем;2019-11-20T11:46:38+0300;1;3;Полный день;Полная занятость;Основные обязанности:  Разработка высоконагруженных систем. Поддержка и сопровождение текущих проектов.  Для нас важно: :  Опыт разработки более 2х лет. Знание C#, RabbitMQ, LINQ, Git, MySQL, MongoDB, WCF, .NET Framework Опыт работы с реляционными базами данных.  Будет плюсом:  Опыт: Mysql, MongoDB, RabbitMQ, ClickHouse, ElasticSearch. Знания: Machine Learning, Blockchain technology, математическая статистика и теория вероятностей.  Мы предлагаем:  Итоговый уровень ЗП зависит от пожеланий и профессионально уровня кандидата. Комфортный, современный офис. Оформление по ТК РФ. Гибкое начало рабочего дня. Интересные и сложные и задачи. Удобное, оборудованное всем необходимым, рабочее место. Перспективы материального и профессионального роста. Корпоративные обеды + безлимитные: чай, кофе. Современный подход к управлению, постановке задач, процессам. ;  Итоговый уровень ЗП зависит от пожеланий и профессионально уровня кандидата. Комфортный, современный офис. Оформление по ТК РФ. Гибкое начало рабочего дня. Интересные и сложные и задачи. Удобное, оборудованное всем необходимым, рабочее место. Перспективы материального и профессионального роста. Корпоративные обеды + безлимитные: чай, кофе. Современный подход к управлению, постановке задач, процессам. ;Опыт разработки более 2х лет. Знание C#, RabbitMQ, LINQ, Git, MySQL, MongoDB, WCF, .NET Framework. Опыт работы с реляционными...;Разработка высоконагруженных систем. Поддержка и сопровождение текущих проектов.;".NET Framework; C#; LINQ; SQL; WPF"
75;Математик-программист С++;Новосибирск;70000.0;120000.0;Кадровое агентство Алексея Сухорукова;2019-11-18T08:44:00+0300;0;0;Полный день;Полная занятость;Российская дочка бельгийской компании, а также часть глобальной Шведской корпорации, с представительствами в 70 странах мира и командой разработчиков более 200 человек приглашает в свою команду программиста C++. Компания занимается разработкой популярной системы автоматизации проектирования, объединяющей 2D черчение и прямое 3D моделирование в рамках собственной платформы. Продукт обладает широкими возможностями параметризации и специализированных инструментов в области машиностроительного (MCAD) и архитектурно-строительного проектирования (BIM) и занимает уверенные лидирующие позиции на рынке. Компания предлагает гибкий график и белую заработную плату с ежегодной индексацией. Для работы необходимы:  Уверенные базовые знания C++ Хорошая математическая подготовка: аналитическая геометрия, дискретная математика Понимание ООП Компания готова к сотрудничеству, как с опытными программистами, так и со вчерашними студентами, имеющими собственные некоммерческие проекты на C++ и хорошую теоретическую подготовку  Вам предстоит:  Участие в коллективной разработке САПР Разработка конечно-пользовательских инструментов параметрического и прямого моделирования трехмерных тел и поверхностей, генерации чертежных видов по трехмерным моделям Реализация эффективных алгоритмов Создание и тестирование нового кода Сопровождение существующего кода  Компания предлагает:   Гибкий, возможно частично удаленный график работы Отпуск общей продолжительностью пять недель Белую заработную плату, а также доплаты по больничным листам до уровня реальной з/п Еженедельные обеды с командой по пятницам вне офиса Корпоративные мероприятия, такие как выезды с семьей на Алтай Корпоративное изучение английского языка для разных уровней в группах по 2-3 человека Оплачиваемую парковку Заработную плату для кандидатов без опыта – 70.000 руб. и от 110.000 для кандидатов, имеющих опыт разработки аналогичных продуктов Комфортный офис в Академгородке с уютной кухней, где всегда есть свежие фрукты и различные закуски  Ждем ваших резюме!;;Понимание ООП. Компания готова к сотрудничеству, как с опытными <highlighttext>программистами</highlighttext>, так и со вчерашними студентами, имеющими собственные некоммерческие проекты на...;Участие в коллективной разработке САПР. Разработка конечно-пользовательских инструментов параметрического и прямого моделирования трехмерных тел и поверхностей, генерации чертежных видов...;
